1.52E+001 2.02E-005
1.54E+001 1.73E-005
1.56E+001 1.47E-005
1.58E+001 1.26E-005
1.60E+001 1.07E-005
1.62E+001 9.17E-006
1.64E+001 7.82E-006
1.66E+001 6.67E-006
1.68E+001 5.69E-006
1.70E+001 4.85E-006
1.72E+001 4.14E-006
1.74E+001 3.53E-006
1.76E+001 3.01E-006
1.78E+001 2.56E-006
1.80E+001 2.18E-006
1.82E+001 1.86E-006
1.84E+001 1.58E-006
1.86E+001 1.35E-006
1.88E+001 1.15E-006
1.90E+001 9.76E-007
1.92E+001 8.31E-007
1.94E+001 7.07E-007
1.96E+001 6.01E-007
1.98E+001 5.12E-007
2.00E+001 4.35E-007
2.02E+001 3.70E-007
2.04E+001 3.15E-007
2.06E+001 2.67E-007
2.08E+001 2.27E-007
2.10E+001 1.93E-007
2.12E+001 1.64E-007
2.14E+001 1.40E-007
2.16E+001 1.19E-007
2.18E+001 1.01E-007
2.20E+001 8.55E-008
2.22E+001 7.26E-008
2.24E+001 6.17E-008
2.26E+001 5.23E-008
2.28E+001 4.44E-008
2.30E+001 3.77E-008
2.32E+001 3.20E-008
2.34E+001 2.72E-008
2.36E+001 2.30E-008
2.38E+001 1.95E-008
2.40E+001 1.66E-008
2.42E+001 1.41E-008
2.44E+001 1.19E-008
2.46E+001 1.01E-008
2.48E+001 8.57E-009
2.50E+001 0.00E+000
